route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SUN.,670.4,5
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SUN.,676,5
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SUN.,337.2,5
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SUN.,388,5
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SUN.,1115.2,5
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SUN.,357,5
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SUN.,253.4,5
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SUN.,838.2,5
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SUN.,313.8,5
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SUN.,417.8,5
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SUN.,1173.8,5
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SUN.,547.4,5
38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SUN.,160,5
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SUN.,149,5
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SUN.,278.8,5
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SUN.,228,5
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SUN.,209,5
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SUN.,877,5
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SUN.,2743,5
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SUN.,1190.2,5
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SUN.,419,5
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SUN.,429.2,5
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SUN.,602.2,5
58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SUN.,155,5
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SUN.,1007.2,5
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SUN.,1961,5
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SUN.,1477,5
