route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,773.55,20
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2018-02-01,201802,WEEKDAY,562.2,20
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,1045.1,20
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2018-02-01,201802,WEEKDAY,1284.15,20
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,736.6,20
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,299.9,20
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,1788.6,20
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,1171.55,20
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,1378.9,20
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2018-02-01,201802,SAT.,1549,4
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2018-02-01,201802,SAT.,943,4
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2018-02-01,201802,SAT.,4867.25,4
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2018-02-01,201802,SUN.,758,4
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2018-02-01,201802,SUN.,562,4
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2018-02-01,201802,SUN.,2920.5,4
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2018-02-01,201802,WEEKDAY,6325,20
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2018-02-01,201802,WEEKDAY,8867,20
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2018-02-01,201802,WEEKDAY,10348.65,20
MI,000,MONONGAHELA INCLINE,Incline,Incline,2018-02-01,201802,SAT.,1520,4
MI,000,MONONGAHELA INCLINE,Incline,Incline,2018-02-01,201802,SUN.,1050,4
MI,000,MONONGAHELA INCLINE,Incline,Incline,2018-02-01,201802,WEEKDAY,894.95,20
1,001,1 - FREEPORT ROAD,Ross,Bus,2018-03-01,201803,SAT.,1159,5
4,004,4 - TROY HILL,Ross,Bus,2018-03-01,201803,SAT.,213.2,5
6,006,6 - SPRING HILL,Ross,Bus,2018-03-01,201803,SAT.,524,5
8,008,8 - PERRYSVILLE,Ross,Bus,2018-03-01,201803,SAT.,1599,5
11,011,11 - FINEVIEW,Ross,Bus,2018-03-01,201803,SAT.,239.6,5
12,012,12 - MCKNIGHT,Ross,Bus,2018-03-01,201803,SAT.,1415.2,5
13,013,13 - BELLEVUE,Ross,Bus,2018-03-01,201803,SAT.,1359.4,5
14,014,14 - OHIO VALLEY,Ross,Bus,2018-03-01,201803,SAT.,554.2,5
15,015,15 - CHARLES,Ross,Bus,2018-03-01,201803,SAT.,737.2,5
16,016,16 - BRIGHTON,Ross,Bus,2018-03-01,201803,SAT.,1924,5
17,017,17 - SHADELAND,Ross,Bus,2018-03-01,201803,SAT.,589,5
21,021,21 - CORAOPOLIS,Collier,Bus,2018-03-01,201803,SAT.,633.6,5
22,022,22 - MCCOY,Collier,Bus,2018-03-01,201803,SAT.,394.6,5
24,024,24 - WEST PARK,Collier,Bus,2018-03-01,201803,SAT.,1260.4,5
26,026,26 - CHARTIERS,Collier,Bus,2018-03-01,201803,SAT.,488,5
27,027,27 - FAIRYWOOD,Collier,Bus,2018-03-01,201803,SAT.,561.8,5
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2018-03-01,201803,SAT.,1693.8,5
31,031,31 - BRIDGEVILLE,Collier,Bus,2018-03-01,201803,SAT.,836.8,5
38,038,38 - GREEN TREE,Collier,Bus,2018-03-01,201803,SAT.,342,5
39,039,39 - BROOKLINE,Collier,Bus,2018-03-01,201803,SAT.,215.8,5
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2018-03-01,201803,SAT.,199,5
41,041,41 - BOWER HILL,Collier,Bus,2018-03-01,201803,SAT.,510.8,5
43,043,43 - BAILEY,Collier,Bus,2018-03-01,201803,SAT.,332,5
44,044,44 - VIA KNOXVILLE,Collier,Bus,2018-03-01,201803,SAT.,280,5
48,048,48 - ARLINGTON,Collier,Bus,2018-03-01,201803,SAT.,1938.8,5
51,051,51 - CARRICK,West Mifflin,Bus,2018-03-01,201803,SAT.,4960,5
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2018-03-01,201803,SAT.,345.2,5
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2018-03-01,201803,SAT.,2186.6,5
55,055,55 - GLASSPORT,West Mifflin,Bus,2018-03-01,201803,SAT.,712.4,5
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2018-03-01,201803,SAT.,745.4,5
57,057,57 - HAZELWOOD,West Mifflin,Bus,2018-03-01,201803,SAT.,872,5
58,058,58 - GREENFIELD,East Liberty,Bus,2018-03-01,201803,SAT.,181.6,5
59,059,59 - MON VALLEY,West Mifflin,Bus,2018-03-01,201803,SAT.,1805.4,5
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2018-03-01,201803,SAT.,3287.4,5
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2018-03-01,201803,SAT.,2833.6,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-03-01,201803,SAT.,4365.6,5
61D,061D,61D - MURRAY,West Mifflin,Bus,2018-03-01,201803,SAT.,3217.4,5
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2018-03-01,201803,SAT.,1728.6,5
67,067,67 - MONROEVILLE,East Liberty,Bus,2018-03-01,201803,SAT.,918.6,5
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2018-03-01,201803,SAT.,441,5
69,069,69 - TRAFFORD,East Liberty,Bus,2018-03-01,201803,SAT.,340.4,5
71A,071A,71A - NEGLEY,East Liberty,Bus,2018-03-01,201803,SAT.,2491.6,5
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2018-03-01,201803,SAT.,2144.4,5
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2018-03-01,201803,SAT.,2918.2,5
71D,071D,71D - HAMILTON,East Liberty,Bus,2018-03-01,201803,SAT.,1767.6,5
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2018-03-01,201803,SAT.,404.6,5
75,075,75 - ELLSWORTH,East Liberty,Bus,2018-03-01,201803,SAT.,1885.2,5
77,077,77 - PENN HILLS,East Liberty,Bus,2018-03-01,201803,SAT.,1074.4,5
79,079,79 - EAST HILLS,East Liberty,Bus,2018-03-01,201803,SAT.,664.4,5
81,081,81 - OAK HILL,West Mifflin,Bus,2018-03-01,201803,SAT.,917,5
82,082,82 - LINCOLN,East Liberty,Bus,2018-03-01,201803,SAT.,2294.4,5
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2018-03-01,201803,SAT.,1492.6,5
86,086,86 - LIBERTY,East Liberty,Bus,2018-03-01,201803,SAT.,2380.4,5
87,087,87 - FRIENDSHIP,East Liberty,Bus,2018-03-01,201803,SAT.,732.4,5
88,088,88 - PENN,East Liberty,Bus,2018-03-01,201803,SAT.,1616.8,5
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2018-03-01,201803,SAT.,251,5
91,091,91 - BUTLER STREET,Ross,Bus,2018-03-01,201803,SAT.,2095.8,5
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2018-03-01,201803,SAT.,936.2,5
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2018-03-01,201803,SAT.,4837.8,5
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2018-03-01,201803,SAT.,815.4,5
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2018-03-01,201803,SAT.,549.2,5
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2018-03-01,201803,SAT.,550.4,5
1,001,1 - FREEPORT ROAD,Ross,Bus,2018-03-01,201803,SUN.,886.75,4
6,006,6 - SPRING HILL,Ross,Bus,2018-03-01,201803,SUN.,382.25,4
8,008,8 - PERRYSVILLE,Ross,Bus,2018-03-01,201803,SUN.,992.25,4
11,011,11 - FINEVIEW,Ross,Bus,2018-03-01,201803,SUN.,140,4
12,012,12 - MCKNIGHT,Ross,Bus,2018-03-01,201803,SUN.,872.25,4
13,013,13 - BELLEVUE,Ross,Bus,2018-03-01,201803,SUN.,654.75,4
14,014,14 - OHIO VALLEY,Ross,Bus,2018-03-01,201803,SUN.,397.75,4
15,015,15 - CHARLES,Ross,Bus,2018-03-01,201803,SUN.,453.25,4
16,016,16 - BRIGHTON,Ross,Bus,2018-03-01,201803,SUN.,1234,4
17,017,17 - SHADELAND,Ross,Bus,2018-03-01,201803,SUN.,500,4
21,021,21 - CORAOPOLIS,Collier,Bus,2018-03-01,201803,SUN.,385.5,4
24,024,24 - WEST PARK,Collier,Bus,2018-03-01,201803,SUN.,1018.5,4
26,026,26 - CHARTIERS,Collier,Bus,2018-03-01,201803,SUN.,341.5,4
27,027,27 - FAIRYWOOD,Collier,Bus,2018-03-01,201803,SUN.,470,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2018-03-01,201803,SUN.,1588,4
31,031,31 - BRIDGEVILLE,Collier,Bus,2018-03-01,201803,SUN.,573.25,4
38,038,38 - GREEN TREE,Collier,Bus,2018-03-01,201803,SUN.,162,4
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2018-03-01,201803,SUN.,142.25,4
41,041,41 - BOWER HILL,Collier,Bus,2018-03-01,201803,SUN.,284.5,4
43,043,43 - BAILEY,Collier,Bus,2018-03-01,201803,SUN.,242.25,4
44,044,44 - VIA KNOXVILLE,Collier,Bus,2018-03-01,201803,SUN.,203.5,4
48,048,48 - ARLINGTON,Collier,Bus,2018-03-01,201803,SUN.,1161.5,4
51,051,51 - CARRICK,West Mifflin,Bus,2018-03-01,201803,SUN.,3282,4
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2018-03-01,201803,SUN.,1021.5,4
55,055,55 - GLASSPORT,West Mifflin,Bus,2018-03-01,201803,SUN.,587.75,4
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2018-03-01,201803,SUN.,616,4
57,057,57 - HAZELWOOD,West Mifflin,Bus,2018-03-01,201803,SUN.,572,4
58,058,58 - GREENFIELD,East Liberty,Bus,2018-03-01,201803,SUN.,137.75,4
59,059,59 - MON VALLEY,West Mifflin,Bus,2018-03-01,201803,SUN.,1257,4
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2018-03-01,201803,SUN.,2637,4
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2018-03-01,201803,SUN.,2047.25,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-03-01,201803,SUN.,3151.75,4
61D,061D,61D - MURRAY,West Mifflin,Bus,2018-03-01,201803,SUN.,2136.25,4
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2018-03-01,201803,SUN.,1043.25,4
67,067,67 - MONROEVILLE,East Liberty,Bus,2018-03-01,201803,SUN.,460,4
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2018-03-01,201803,SUN.,270,4
69,069,69 - TRAFFORD,East Liberty,Bus,2018-03-01,201803,SUN.,246,4
71A,071A,71A - NEGLEY,East Liberty,Bus,2018-03-01,201803,SUN.,1659.25,4
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2018-03-01,201803,SUN.,1172.25,4
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2018-03-01,201803,SUN.,1831.5,4
71D,071D,71D - HAMILTON,East Liberty,Bus,2018-03-01,201803,SUN.,1281,4
75,075,75 - ELLSWORTH,East Liberty,Bus,2018-03-01,201803,SUN.,1232.25,4
77,077,77 - PENN HILLS,East Liberty,Bus,2018-03-01,201803,SUN.,616,4
79,079,79 - EAST HILLS,East Liberty,Bus,2018-03-01,201803,SUN.,374.75,4
81,081,81 - OAK HILL,West Mifflin,Bus,2018-03-01,201803,SUN.,600.25,4
82,082,82 - LINCOLN,East Liberty,Bus,2018-03-01,201803,SUN.,1592.5,4
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2018-03-01,201803,SUN.,842.5,4
86,086,86 - LIBERTY,East Liberty,Bus,2018-03-01,201803,SUN.,1451.75,4
87,087,87 - FRIENDSHIP,East Liberty,Bus,2018-03-01,201803,SUN.,118.25,4
88,088,88 - PENN,East Liberty,Bus,2018-03-01,201803,SUN.,1099.5,4
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2018-03-01,201803,SUN.,107.75,4
91,091,91 - BUTLER STREET,Ross,Bus,2018-03-01,201803,SUN.,973,4
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2018-03-01,201803,SUN.,677.75,4
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2018-03-01,201803,SUN.,3008.5,4
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2018-03-01,201803,SUN.,630.25,4
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2018-03-01,201803,SUN.,387.25,4
1,001,1 - FREEPORT ROAD,Ross,Bus,2018-03-01,201803,WEEKDAY,1664.04545454545,22
2,002,2 - MOUNT ROYAL,Ross,Bus,2018-03-01,201803,WEEKDAY,984.909090909091,22
4,004,4 - TROY HILL,Ross,Bus,2018-03-01,201803,WEEKDAY,642.863636363636,22
6,006,6 - SPRING HILL,Ross,Bus,2018-03-01,201803,WEEKDAY,1033.27272727273,22
7,007,7 - SPRING GARDEN,Ross,Bus,2018-03-01,201803,WEEKDAY,134.545454545455,22
8,008,8 - PERRYSVILLE,Ross,Bus,2018-03-01,201803,WEEKDAY,3204.59090909091,22
11,011,11 - FINEVIEW,Ross,Bus,2018-03-01,201803,WEEKDAY,544,22
12,012,12 - MCKNIGHT,Ross,Bus,2018-03-01,201803,WEEKDAY,1140.5,22
13,013,13 - BELLEVUE,Ross,Bus,2018-03-01,201803,WEEKDAY,2064.54545454545,22
14,014,14 - OHIO VALLEY,Ross,Bus,2018-03-01,201803,WEEKDAY,1224.45454545455,22
15,015,15 - CHARLES,Ross,Bus,2018-03-01,201803,WEEKDAY,968.772727272727,22
16,016,16 - BRIGHTON,Ross,Bus,2018-03-01,201803,WEEKDAY,3869.04545454545,22
17,017,17 - SHADELAND,Ross,Bus,2018-03-01,201803,WEEKDAY,1284.59090909091,22
18,018,18 - MANCHESTER,Ross,Bus,2018-03-01,201803,WEEKDAY,118.181818181818,22
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2018-03-01,201803,WEEKDAY,670.409090909091,22
20,020,20 - KENNEDY,Collier,Bus,2018-03-01,201803,WEEKDAY,600.045454545455,22
21,021,21 - CORAOPOLIS,Collier,Bus,2018-03-01,201803,WEEKDAY,1395.09090909091,22
22,022,22 - MCCOY,Collier,Bus,2018-03-01,201803,WEEKDAY,793,22
24,024,24 - WEST PARK,Collier,Bus,2018-03-01,201803,WEEKDAY,1728.09090909091,22
26,026,26 - CHARTIERS,Collier,Bus,2018-03-01,201803,WEEKDAY,938.136363636364,22
27,027,27 - FAIRYWOOD,Collier,Bus,2018-03-01,201803,WEEKDAY,1061,22
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,2039.40909090909,22
29,029,29 - ROBINSON,Collier,Bus,2018-03-01,201803,WEEKDAY,845.909090909091,22
31,031,31 - BRIDGEVILLE,Collier,Bus,2018-03-01,201803,WEEKDAY,1615.86363636364,22
36,036,36 - BANKSVILLE,Collier,Bus,2018-03-01,201803,WEEKDAY,622.272727272727,22
38,038,38 - GREEN TREE,Collier,Bus,2018-03-01,201803,WEEKDAY,2918.63636363636,22
39,039,39 - BROOKLINE,Collier,Bus,2018-03-01,201803,WEEKDAY,1583.36363636364,22
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2018-03-01,201803,WEEKDAY,575.818181818182,22
41,041,41 - BOWER HILL,Collier,Bus,2018-03-01,201803,WEEKDAY,1716.18181818182,22
43,043,43 - BAILEY,Collier,Bus,2018-03-01,201803,WEEKDAY,714.818181818182,22
44,044,44 - VIA KNOXVILLE,Collier,Bus,2018-03-01,201803,WEEKDAY,991.5,22
48,048,48 - ARLINGTON,Collier,Bus,2018-03-01,201803,WEEKDAY,3028.09090909091,22
51,051,51 - CARRICK,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,7971.22727272727,22
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,668.227272727273,22
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,394.863636363636,22
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1446.40909090909,22
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2018-03-01,201803,WEEKDAY,4002.86363636364,22
55,055,55 - GLASSPORT,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,936.727272727273,22
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1640.54545454545,22
57,057,57 - HAZELWOOD,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1214.54545454545,22
58,058,58 - GREENFIELD,East Liberty,Bus,2018-03-01,201803,WEEKDAY,1036.81818181818,22
59,059,59 - MON VALLEY,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1970,22
60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,487.772727272727,22
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,4978.40909090909,22
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,4553.90909090909,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,6253.86363636364,22
61D,061D,61D - MURRAY,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,5388.95454545455,22
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1722.27272727273,22
65,065,65 - SQUIRREL HILL,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,427.409090909091,22
67,067,67 - MONROEVILLE,East Liberty,Bus,2018-03-01,201803,WEEKDAY,2130.81818181818,22
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2018-03-01,201803,WEEKDAY,78.3636363636364,22
69,069,69 - TRAFFORD,East Liberty,Bus,2018-03-01,201803,WEEKDAY,1422.81818181818,22
71,071,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,93.7727272727273,22
71A,071A,71A - NEGLEY,East Liberty,Bus,2018-03-01,201803,WEEKDAY,5968.95454545455,22
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2018-03-01,201803,WEEKDAY,5222.22727272727,22
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2018-03-01,201803,WEEKDAY,5865.18181818182,22
71D,071D,71D - HAMILTON,East Liberty,Bus,2018-03-01,201803,WEEKDAY,4596.45454545455,22
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2018-03-01,201803,WEEKDAY,918.727272727273,22
75,075,75 - ELLSWORTH,East Liberty,Bus,2018-03-01,201803,WEEKDAY,3287.31818181818,22
77,077,77 - PENN HILLS,East Liberty,Bus,2018-03-01,201803,WEEKDAY,2201.22727272727,22
79,079,79 - EAST HILLS,East Liberty,Bus,2018-03-01,201803,WEEKDAY,883.318181818182,22
81,081,81 - OAK HILL,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1763.45454545455,22
82,082,82 - LINCOLN,East Liberty,Bus,2018-03-01,201803,WEEKDAY,3861.59090909091,22
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,2343.5,22
86,086,86 - LIBERTY,East Liberty,Bus,2018-03-01,201803,WEEKDAY,2793.68181818182,22
87,087,87 - FRIENDSHIP,East Liberty,Bus,2018-03-01,201803,WEEKDAY,2782.59090909091,22
88,088,88 - PENN,East Liberty,Bus,2018-03-01,201803,WEEKDAY,3112.86363636364,22
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2018-03-01,201803,WEEKDAY,382.363636363636,22
91,091,91 - BUTLER STREET,Ross,Bus,2018-03-01,201803,WEEKDAY,4336.90909090909,22
93,093,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1990.22727272727,22
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2018-03-01,201803,WEEKDAY,3696.95454545455,22
G3,G3,G3 - MOON FLYER,Collier,Bus,2018-03-01,201803,WEEKDAY,943.090909090909,22
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2018-03-01,201803,WEEKDAY,668.772727272727,22
O1,O1,O1 - ROSS FLYER,Ross,Bus,2018-03-01,201803,WEEKDAY,1204.5,22
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2018-03-01,201803,WEEKDAY,1416.68181818182,22
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2018-03-01,201803,WEEKDAY,132.863636363636,22
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2018-03-01,201803,WEEKDAY,9986.86363636364,22
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,665.909090909091,22
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,1198.09090909091,22
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2018-03-01,201803,WEEKDAY,292.818181818182,22
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,893.545454545455,22
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,385.454545454545,22
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2018-03-01,201803,WEEKDAY,1502.90909090909,22
P3,P3,P3 - EAST BUSWAY-OAKLAND,East Liberty,Bus,2018-03-01,201803,WEEKDAY,2706.36363636364,22
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,468.772727272727,22
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,1143.72727272727,22
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,233.681818181818,22
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,742.136363636364,22
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,606.818181818182,22
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1032.90909090909,22
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2018-03-01,201803,WEEKDAY,1220.31818181818,22
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,711.090909090909,22
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,288.590909090909,22
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1755.40909090909,22
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1152.81818181818,22
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1319.86363636364,22
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2018-03-01,201803,SAT.,1976,5
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2018-03-01,201803,SAT.,1147,5
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2018-03-01,201803,SAT.,6032.8,5
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2018-03-01,201803,SUN.,879,4
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2018-03-01,201803,SUN.,633,4
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2018-03-01,201803,SUN.,3218.5,4
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2018-03-01,201803,WEEKDAY,6281,22
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2018-03-01,201803,WEEKDAY,8792,22
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2018-03-01,201803,WEEKDAY,10216.5,22
MI,000,MONONGAHELA INCLINE,Incline,Incline,2018-03-01,201803,SAT.,2755.8,5
MI,000,MONONGAHELA INCLINE,Incline,Incline,2018-03-01,201803,SUN.,1503,4
MI,000,MONONGAHELA INCLINE,Incline,Incline,2018-03-01,201803,WEEKDAY,1103.27272727273,22
1,001,1 - FREEPORT ROAD,Ross,Bus,2018-04-01,201804,SAT.,1288,4
4,004,4 - TROY HILL,Ross,Bus,2018-04-01,201804,SAT.,314.75,4
6,006,6 - SPRING HILL,Ross,Bus,2018-04-01,201804,SAT.,500.75,4
8,008,8 - PERRYSVILLE,Ross,Bus,2018-04-01,201804,SAT.,1708,4
11,011,11 - FINEVIEW,Ross,Bus,2018-04-01,201804,SAT.,239.5,4
12,012,12 - MCKNIGHT,Ross,Bus,2018-04-01,201804,SAT.,1357.5,4
13,013,13 - BELLEVUE,Ross,Bus,2018-04-01,201804,SAT.,1483.25,4
14,014,14 - OHIO VALLEY,Ross,Bus,2018-04-01,201804,SAT.,622.5,4
15,015,15 - CHARLES,Ross,Bus,2018-04-01,201804,SAT.,754,4
16,016,16 - BRIGHTON,Ross,Bus,2018-04-01,201804,SAT.,2251.75,4
17,017,17 - SHADELAND,Ross,Bus,2018-04-01,201804,SAT.,616.5,4
21,021,21 - CORAOPOLIS,Collier,Bus,2018-04-01,201804,SAT.,669.5,4
22,022,22 - MCCOY,Collier,Bus,2018-04-01,201804,SAT.,452.5,4
24,024,24 - WEST PARK,Collier,Bus,2018-04-01,201804,SAT.,1365,4
26,026,26 - CHARTIERS,Collier,Bus,2018-04-01,201804,SAT.,569.75,4
27,027,27 - FAIRYWOOD,Collier,Bus,2018-04-01,201804,SAT.,648.25,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2018-04-01,201804,SAT.,1580,4
31,031,31 - BRIDGEVILLE,Collier,Bus,2018-04-01,201804,SAT.,899.25,4
38,038,38 - GREEN TREE,Collier,Bus,2018-04-01,201804,SAT.,426.25,4
39,039,39 - BROOKLINE,Collier,Bus,2018-04-01,201804,SAT.,259,4
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2018-04-01,201804,SAT.,242,4
41,041,41 - BOWER HILL,Collier,Bus,2018-04-01,201804,SAT.,560.75,4
