route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7754,Clever
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SAT.,0.7788,Clever
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SUN.,0.7109,Clever
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6871,Clever
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,0.8469,Clever
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SUN.,0.5709,Clever
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6667,Clever
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,0.5645,Clever
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SUN.,0.6174,Clever
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7661,Clever
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SAT.,0.7324,Clever
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SUN.,0.7977,Clever
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7288,Clever
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SAT.,0.6218,Clever
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SUN.,0.757,Clever
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6963,Clever
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6871,Clever
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SUN.,0.74,Clever
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6764,Clever
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.5919,Clever
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-01-01,201701,SAT.,0.764,Clever
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6432,Clever
